Prefecture,"m0-4","m5-9","m10-14","m15-19","m20-24","m25-29","m30-34","m35-39","m40-44","m45-49","m50-54","m55-59","m60-64","m65-69","m70-74","m75-79","m80-84","m85-89","m90+","f0-4","f5-9","f10-14","f15-19","f20-24","f25-29","f30-34","f35-39","f40-44","f45-49","f50-54","f55-59","f60-64","f65-69","f70-74","f75-79","f80-84","f85-89","f90+"
徳島県,69,63,36,96,186,175,123,138,99,78,79,65,27,14,7,6,2,1,0,94,61,34,77,116,145,120,105,62,23,40,16,12,8,6,5,3,3,2
香川県,148,96,65,241,478,336,215,242,213,144,130,100,57,11,10,4,3,4,2,134,135,58,85,212,250,213,206,109,55,45,40,37,9,5,5,5,6,1
愛媛県,132,94,120,175,346,294,220,199,167,118,82,93,56,29,8,5,3,4,1,122,94,62,97,220,220,178,150,111,72,42,44,21,16,11,9,5,5,2
高知県,82,52,49,188,173,165,137,118,107,76,65,52,42,11,5,5,5,1,0,74,46,39,129,120,139,125,103,52,32,29,30,18,5,7,5,6,2,3
福岡県,771,618,374,1756,2119,1541,1086,1035,948,664,545,475,251,65,41,23,20,9,6,708,554,349,1375,1548,1248,1047,937,693,344,261,175,97,70,58,29,43,35,23
佐賀県,113,90,53,185,251,205,156,131,112,86,98,70,45,9,8,7,3,1,0,97,76,46,98,219,182,152,123,104,48,49,28,22,11,11,7,8,7,5
長崎県,157,113,120,539,534,361,273,232,202,148,155,135,89,31,14,5,2,3,0,166,110,76,292,316,293,239,190,128,71,60,46,41,26,20,14,8,12,2
熊本県,206,204,118,370,447,415,298,321,270,222,186,178,106,40,10,10,5,4,2,203,164,107,233,345,391,293,278,176,105,82,57,58,29,17,18,14,17,4
大分県,156,124,50,246,343,282,226,221,166,128,113,107,69,33,15,7,4,3,1,145,92,44,132,206,261,200,177,122,59,65,65,45,24,14,9,9,12,4
宮崎県,184,115,62,369,396,310,244,224,157,127,133,106,73,25,17,4,3,4,2,159,124,54,159,241,259,232,187,102,62,56,37,44,28,11,12,12,8,2
鹿児島県,231,185,137,446,525,436,308,283,229,191,186,183,133,32,24,11,6,4,2,223,149,107,240,327,348,286,237,175,97,83,90,68,22,24,12,18,7,6
沖縄県,203,112,61,220,342,340,298,316,220,198,168,142,67,28,12,5,3,4,0,170,132,60,143,293,337,286,242,139,65,59,50,34,23,11,7,8,4,5
